title,name,Price Per Unit,Price Per Measure,Promotion,
Morrisons Nourish King Prawn Linguine,Morrisons Nourish King Prawn Linguine380g,£3.75,98.7p per 100g,Buy 2 for £6.50,fresh
Morrisons Nourish Korean Chicken Sandwich,Morrisons Nourish Korean Chicken Sandwich192g,£2.75,£1.43 per 100g,,fresh
Morrisons Nourish Naked Katsu Curry,Morrisons Nourish Naked Katsu Curry380g,£3.75,98.7p per 100g,Buy 2 for £6.50,fresh
Morrisons Nourish Natural Kefir ,Morrisons Nourish Natural Kefir 500ml,£1.75,35p per 100ml,,fresh
Morrisons Nourish Oriental Duck Noodles,Morrisons Nourish Oriental Duck Noodles380g,£3.75,98.7p per 100g,Buy 2 for £6.50,fresh
Morrisons Nourish Pulled Beef Chilli & Rice,Morrisons Nourish Pulled Beef Chilli & Rice380g,£3.75,98.7p per 100g,Buy 2 for £6.50,fresh
Morrisons Nourish Raspberry Kefir ,Morrisons Nourish Raspberry Kefir 500ml,£1.75,35p per 100ml,,fresh
Morrisons Nourish Revitalise Smoothie ,Morrisons Nourish Revitalise Smoothie 750ml,£1.75,23.3p per 100ml,Buy 2 for £3,fresh
Morrisons Nourish Strawberry Drink,Morrisons Nourish Strawberry Drink6 x 100g,£1.75,29.2p per 100g,"Offer price £1.75, was £2.50",fresh
Morrisons Oat Milk,Morrisons Oat Milk1L,£1.49,£1.49 per litre,,fresh
Morrisons Olive Light Spread,Morrisons Olive Light Spread450g,£1.29,28.7p per 100g,,fresh
Morrisons Olive Spread,Morrisons Olive Spread450g,£1.29,28.7p per 100g,,fresh
Morrisons Olives With Feta,Morrisons Olives With Feta150g,£2.15,£1.43 per 100g,"Offer price £2.15, was £2.39",fresh
Morrisons Onion  Bhaji  & Mango Chutney Snack Pot,Morrisons Onion  Bhaji  & Mango Chutney Snack Pot110g,£1.50,£1.36 per 100g,Food To Go Meal Deal for £3.50,fresh
Morrisons Onion Garlic & Herb Dip,Morrisons Onion Garlic & Herb Dip170g,£1.35,79.4p per 100g,Buy 2 for £2,fresh
Morrisons Orange Juice from Concentrate,Morrisons Orange Juice from Concentrate1L,£1.20,12p per 100ml,,fresh
Morrisons Orange Juice from Concentrate with Juicy Bits,Morrisons Orange Juice from Con...1L,£1.20,12p per 100ml,,fresh
Morrisons Organic British Whole Milk 4 Pints,Morrisons Organic British Whole Milk 4 Pints2.272L,£2.15,94.6p per litre,,fresh
Morrisons Organic Eggs 6 pack,Morrisons Organic Eggs 6 pack6 per pack,£2.79,46.5p each,,fresh
Morrisons Organic Mature Cheddar,Morrisons Organic Mature Cheddar250g,£2.99,£11.96 per kg,,fresh
Morrisons Oriental Selection,Morrisons Oriental Selection194g,£2.99,£1.54 per 100g,,fresh
Morrisons Paglia E Feino,Morrisons Paglia E Feino500g,£1.89,£3.78 per kg,Buy 2 for £3.50,fresh
Morrisons Parmentier Potatoes,Morrisons Parmentier Potatoes400g,£2.49,£6.23 per kg,,fresh
Morrisons Parmigiano Reggiano ,Morrisons Parmigiano Reggiano 200g,£3.49,£17.45 per kg,,fresh
Morrisons Parmigiano Reggiano Shavings ,Morrisons Parmigiano Reggiano Shavings 100g,£2.49,£24.90 per kg,,fresh
Morrisons Parsley Sauce,Morrisons Parsley Sauce180g,£1.25,69.4p per 100g,,fresh
Morrisons Party Dip Mix,Morrisons Party Dip Mix500g,£2.39,47.8p per 100g,,fresh
Morrisons Peach Protein Yoghurt,Morrisons Peach Protein Yoghurt200g,85p,42.5p per 100g,,fresh
Morrisons Pea Kale & Ginger Soup,Morrisons Pea Kale & Ginger Soup600g,£1.99,33.2p per 100g,,fresh
Morrisons Pecorino Romano ,Morrisons Pecorino Romano 170g,£3.89,£22.88 per kg,,fresh
Morrisons Penne Mozzarella,Morrisons Penne Mozzarella400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Pepperoni,Morrisons Pepperoni100g,£1.29,£1.29 per 100g,"Offer price £1.29, was £1.49",fresh
Morrisons Perfectly Buttery,Morrisons Perfectly Buttery450g,£1,22.2p per 100g,,fresh
Morrisons Perfectly Buttery,Morrisons Perfectly Buttery900g,£1.89,21p per 100g,,fresh
Morrisons Peri Peri Chicken Slices ,Morrisons Peri Peri Chicken Slices 80g,£1.69,£2.11 per 100g,,fresh
Morrisons Peri Peri Chicken With Spiced Rice & Corn,Morrisons Peri Peri Chicken W...400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Pesto Chicken Pasta,Morrisons Pesto Chicken Pasta400g,£3.49,87.3p per 100g,Buy 2 for £6,fresh
Morrisons Pineapple & Coconut Juice ,Morrisons Pineapple & Coconut Juice 1L,£1.69,16.9p per 100ml,,fresh
Morrisons Pink Grapefruit Juice,Morrisons Pink Grapefruit Juice1L,£1.69,16.9p per 100ml,,fresh
Morrisons Piri Piri Chicken Mini Fillets ,Morrisons Piri Piri Chicken Mini Fillets 160g,£2.99,£1.87 per 100g,,fresh
Morrisons Pitted Green Olives,Morrisons Pitted Green Olives120g,£1.65,£1.38 per 100g,,fresh
Morrisons Pizza Dough,Morrisons Pizza Dough400g,£1.30,£3.25 per kg,,fresh
Morrisons Pizza Sides Onion Rings,Morrisons Pizza Sides Onion Rings250g,£3.25,£1.30 per 100g,Buy 1 pizza and 2 sides for £8,fresh
Morrisons Plant Revolution Cherry Soya Yogurts ,Morrisons Plant Revolutio...4 x 100g,£1.29,32.3p per 100g,,fresh
Morrisons Plant Revolution Chilli Con Carne & Rice,Morrisons Plant Revolution...350g,£2.75,78.6p per 100g,"Offer price £2.75, was £2.99",fresh
Morrisons Plant Revolution Mango Soya Yogurts,Morrisons Plant Revolutio...4 x 100g,£1.29,32.3p per 100g,,fresh
Morrisons Plant Revolution No Chicken Tikka Masala & Pilau Rice,Morrisons Plant Revolution No Chicken...350g,£2.75,78.6p per 100g,"Offer price £2.75, was £2.99",fresh
Morrisons Plant Revolution No Hoisin Duck Wrap,Morrisons Plant Revolutio...197g,£2.75,£1.40 per 100g,,fresh
Morrisons Plant Revolution Vegetable Paella,Morrisons Plant Revolut...350g,£2.75,78.6p per 100g,"Offer price £2.75, was £2.99",fresh
Morrisons Pork & Egg Roll,Morrisons Pork & Egg Roll160g,£1.49,£9.31 per kg,,fresh
Morrisons Pork Cocktail Sausages,Morrisons Pork Cocktail Sausages82g,£1.25,£1.52 per 100g,Food To Go Meal Deal for £3.50,fresh
Morrisons Pork Cocktail Sausages 20 Pack,Morrisons Pork Cocktail Sausages 20 Pack164g,£1.25,£7.63 per kg,"Offer price £1.25, was £1.49",fresh
Morrisons Pork Cocktail Sausages 30 Pack,Morrisons Pork Cocktail Sausages 30 Pack246g,£2.39,97.2p per 100g,Buy 2 for £3.50,fresh
Morrisons Pork Sausage Rolls 28 Pack,Morrisons Pork Sausage Rolls 28 Pack420g,£3,71.4p per 100g,,fresh
 Morrisons Potato Salad, Morrisons Potato Salad300g,£1.09,36.3p per 100g,,fresh
Morrisons Prawn Mayonnaise Sandwich,Morrisons Prawn Mayonnaise Sandwich,£2.85,,Food To Go Meal Deal for £3.50,fresh
Morrisons Prawn Toast,Morrisons Prawn Toast200g,£3.25,£1.63 per 100g,,fresh
Morrisons Profiterole Dessert,Morrisons Profiterole Dessert95g,£2,£2.11 per 100g,,fresh
Morrisons Profiteroles ,Morrisons Profiteroles 2 x 90g,£1.35,75p per 100g,"Offer price £1.35, was £1.49",fresh
Morrisons Profiteroles,Morrisons Profiteroles450g,£3.29,73.1p per 100g,,fresh
Morrisons Prosciutto Cotto,Morrisons Prosciutto Cotto110g,£2.25,£2.05 per 100g,,fresh
Morrisons Pub Style 2 Steak & Ale Pies ,Morrisons Pub Style 2 Steak & Ale Pies 440g,£3.30,£7.50 per kg,Save 80p Off Your Next Shop,fresh
Morrisons Puff Pastry Block,Morrisons Puff Pastry Block425g,£1.29,30.4p per 100g,,fresh
"Morrisons Puff Pastry Chicken, Ham & Leek Pie","Morrisons Puff Pastry Chicken, Ham & Leek Pie200g",£1.79,89.5p per 100g,,fresh
"Morrisons Puff Pastry Chicken, Ham & Leek Pie","Morrisons Puff Pastry Chicken, Ham & Leek Pie550g",£3.95,71.8p per 100g,,fresh
Morrisons Puff Pastry Steak & Ale Pie,Morrisons Puff Pastry Steak & Ale Pie200g,£1.79,89.5p per 100g,,fresh
Morrisons Puff Pastry Steak & Ale Pie,Morrisons Puff Pastry Steak & Ale Pie550g,£3.95,71.8p per 100g,,fresh
Morrisons Puff Pastry Steak Pie ,Morrisons Puff Pastry Steak Pie 200g,£1.79,89.5p per 100g,,fresh
Morrisons Quiche Lorraine,Morrisons Quiche Lorraine400g,£2.75,68.8p per 100g,,fresh
Morrisons Quiche Lorraine        ,Morrisons Quiche Lorraine        170g,£1.95,£1.15 per 100g,,fresh
Morrisons Raspberry Cranberry & Blueberry Yogurt,Morrisons Raspberry Cranber...450g,£1.25,27.8p per 100g,,fresh
Morrisons Raspberry Trifle,Morrisons Raspberry Trifle600g,£2.49,41.5p per 100g,"Offer price £2.49, was £2.79",fresh
Morrisons Raspberry Trifles,Morrisons Raspberry Trifles3 x 135g,£1.99,49.1p per 100g,,fresh
Morrisons Ready Roll Puff Pastry,Morrisons Ready Roll Puff Pastry320g,£1.49,46.6p per 100g,,fresh
Morrisons Ready Roll Puff Pastry Light,Morrisons Ready Roll Puff Pastry Light320g,£1.25,39.1p per 100g,,fresh
Morrisons Ready Roll Shortcrust Pastry,Morrisons Ready Roll Shortcrust Pastry320g,£1.49,46.6p per 100g,,fresh
Morrisons Ready To Eat Flame Grilled Chicken Slices,Morrisons Ready To Eat Flame...160g,£2.99,£1.87 per 100g,,fresh
 Morrisons Ready To Eat Roast Chicken Breast Fillets, Morrisons Ready To Eat Roast...220g,£3.25,£1.48 per 100g,,fresh
Morrisons Ready To Eat Roast Cooked Whole Chicken,Morrisons Ready To Eat Roas...900g,£5.49,61p per 100g,,fresh
Morrisons Ready to Eat Smoked Streaky Bacon ,Morrisons Ready to Eat Smoked Streaky Bacon 50g,£2.99,£5.98 per 100g,,fresh
Morrisons Red Leicester,Morrisons Red Leicester240g,£2.69,£11.21 per kg,,fresh
Morrisons Red Leicester Cheese,Morrisons Red Leicester Cheese350g,£2.99,£8.54 per kg,,fresh
Morrisons Red Leicester Slices,Morrisons Red Leicester Slices240g,£2.65,£11.04 per kg,Buy 2 for £4.50,fresh
Morrisons Red Pepper Houmous,Morrisons Red Pepper Houmous200g,£1.35,67.5p per 100g,Buy 2 for £2,fresh
Morrisons Reduced Fat Creme Fraiche,Morrisons Reduced Fat Creme Fraiche300ml,£1.20,40p per 100ml,,fresh
Morrisons Reduced Fat Garlic Baguettes ,Morrisons Reduced Fat Garlic Baguettes 2 x 210g,£1.85,£4.40 per kg,,fresh
 Morrisons Reduced Fat Potato Salad, Morrisons Reduced Fat Potato Salad300g,£1.09,36.3p per 100g,,fresh
Morrisons Reduced Fat Soured Cream & Chive Dip,Morrisons Reduced Fat Soured Cream & Chive Dip170g,£1.35,79.4p per 100g,Buy 2 for £2,fresh
Morrisons Reduced Fat Spreadable,Morrisons Reduced Fat Spreadable450g,£2.49,55.3p per 100g,,fresh
Morrisons Rhubarb Fruited Yogurt,Morrisons Rhubarb Fruited Yogurt150g,50p,33.3p per 100g,,fresh
Morrisons Roast Chicken & Bacon Sandwich,Morrisons Roast Chicken & Bacon Sandwich,£2.85,,Food To Go Meal Deal for £3.50,fresh
Morrisons Roast Chicken Dinner,Morrisons Roast Chicken Dinner400g,£3.75,£9.38 per kg,,fresh
Morrisons Roast Chicken Slices,Morrisons Roast Chicken Slices180g,£3.25,£1.81 per 100g,,fresh
 Morrisons Roasted Vegetable Couscous, Morrisons Roasted Vegetable Couscous250g,£2.49,99.6p per 100g,Buy 2 for £4,fresh
Morrisons Roasted Vegetable Risotto,Morrisons Roasted Vegetable Risotto360g,£3.49,£9.69 per kg,Buy 2 for £6,fresh
Morrisons Roast Potatoes,Morrisons Roast Potatoes400g,£1.99,49.8p per 100g,,fresh
Morrisons Roast Skin On Chicken Fillets,Morrisons Roast Skin On Chicken Fillets220g,£3.25,£1.48 per 100g,,fresh
Morrisons Rocky Road Bar,Morrisons Rocky Road Bar50g,£1.25,£2.50 per 100g,Food To Go Meal Deal for £3.50,fresh
Morrisons Salad Cheese,Morrisons Salad Cheese200g,£1.79,£8.95 per kg,,fresh
Morrisons Salami Selection,Morrisons Salami Selection120g,£2.79,£2.33 per 100g,,fresh
Morrisons Sausage & Mash,Morrisons Sausage & Mash400g,£3.49,87.3p per 100g,,fresh
Morrisons Savers 15 Cheese Slices ,Morrisons Savers 15 Cheese Slices 255g,83p,£3.25 per kg,,fresh
Morrisons Savers Beef Lasagne,Morrisons Savers Beef Lasagne400g,£1.67,£4.18 per kg,,fresh
Morrisons Savers Beef Lasagne,Morrisons Savers Beef Lasagne400g,85p,21.3p per 100g,,fresh
Morrisons Savers Cheese & Tomato Pasta,Morrisons Savers Cheese & Tomato Pasta400g,85p,21.3p per 100g,,fresh
Morrisons Savers Cheese And Tomato Pizza ,Morrisons Savers Cheese And Tomato Pizza 270g,89p,£3.30 per kg,,fresh
Morrisons Savers Cheese Slices,Morrisons Savers Cheese Slices200g,£1.39,69.5p per 100g,,fresh
Morrisons Savers Chicken Curry,Morrisons Savers Chicken Curry400g,£1.67,£4.18 per kg,,fresh
Morrisons Savers Chicken Curry,Morrisons Savers Chicken Curry400g,85p,21.3p per 100g,,fresh
Morrisons Savers Chicken Pieces,Morrisons Savers Chicken Pieces750g,£4.26,56.8p per 100g,,fresh
Morrisons Savers Chocolate Mousse,Morrisons Savers Chocolate Mousse6 x 60g,72p,20p per 100g,,fresh
Morrisons Savers Cooked Chicken Tikka Breast Slices,Morrisons Savers Cooked Chick...210g,£1.99,94.8p per 100g,,fresh
Morrisons Savers Cooked Ham,Morrisons Savers Cooked Ham200g,£1.17,58.5p per 100g,,fresh
Morrisons Savers Cottage Pie,Morrisons Savers Cottage Pie400g,£1.67,£4.18 per kg,,fresh
Morrisons Savers Family Pack Breaded Ham ,Morrisons Savers Family Pack Breaded Ham 370g,£1.95,52.7p per 100g,,fresh
Morrisons  Savers Fromage Frais,Morrisons  Savers Fromage Frais12 x 55g,88p,13.3p per 100g,,fresh
Morrisons Savers Garlic Baguette ,Morrisons Savers Garlic Baguette 170g,37p,£2.18 per kg,,fresh
Morrisons Savers Grated Cheese,Morrisons Savers Grated Cheese1kg,£5.60,£5.60 per kg,,fresh
Morrisons Savers Grated Italian Style Hard Cheese,Morrisons Savers Grated Italian Style Hard Cheese120g,£1.67,£1.39 per 100g,,fresh
Morrisons Savers Grated Mixed Cheese,Morrisons Savers Grated Mixed Cheese500g,£2.80,56p per 100g,,fresh
Morrisons Savers Grilling Cheese ,Morrisons Savers Grilling Cheese 200g,£1.59,£7.95 per kg,,fresh
Morrisons Savers Hot & Spicy Cooked Chicken Breast Slices,Morrisons Savers Hot & Spicy Cook...210g,£1.99,94.8p per 100g,,fresh
Morrisons Savers Italian Style Hard Cheese,Morrisons Savers Italian Style Hard Cheese170g,£1.74,£10.24 per kg,,fresh
Morrisons Savers Lighter Mature Cheddar ,Morrisons Savers Lighter Mature Cheddar 350g,£2.35,£6.71 per kg,,fresh
Morrisons Savers Long Life Skimmed Milk,Morrisons Savers Long Life Skimmed Milk1L,69p,69p per litre,,fresh
Morrisons Savers Low Fat Natural Yogurt,Morrisons Savers Low Fat Natural Yogurt500g,45p,9p per 100g,,fresh
Morrisons Savers Low Fat Strawberry,Morrisons Savers Low Fat Strawberry450g,95p,21.1p per 100g,,fresh
Morrisons Savers Macaroni Cheese,Morrisons Savers Macaroni Cheese400g,£1.67,£4.18 per kg,,fresh
Morrisons Savers Macaroni Cheese,Morrisons Savers Macaroni Cheese400g,85p,21.3p per 100g,,fresh
Morrisons Savers Mature White Cheddar,Morrisons Savers Mature White Cheddar625g,£3.33,£5.33 per kg,,fresh
Morrisons Savers Mature White Cheddar ,Morrisons Savers Mature White Cheddar 350g,£2.35,£6.71 per kg,,fresh
Morrisons Savers Medium White Cheddar,Morrisons Savers Medium White Cheddar350g,£2.35,£6.71 per kg,,fresh
Morrisons Savers Mild White Cheddar,Morrisons Savers Mild White Cheddar625g,£3.33,£5.33 per kg,,fresh
Morrisons Savers Mild White Cheddar ,Morrisons Savers Mild White Cheddar 350g,£2.35,£6.71 per kg,,fresh
Morrisons Savers Mozzarella,Morrisons Savers Mozzarella100g,55p,55p per 100g,,fresh
Morrisons Savers Orange Juice from Concentrate,Morrisons Savers Orange Juice from Concentrate1L,85p,8.5p per 100ml,,fresh
Morrisons Savers Plain Soft Cheese,Morrisons Savers Plain Soft Cheese200g,83p,41.5p per 100g,,fresh
Morrisons Savers Pork Luncheon Meat ,Morrisons Savers Pork Luncheon Meat 250g,86p,34.4p per 100g,,fresh
Morrisons Savers Red Fruit Yogurts,Morrisons Savers Red Fruit Yogurts6 x 125g,79p,10.5p per 100g,,fresh
Morrisons Savers Red Leicester,Morrisons Savers Red Leicester350g,£2.35,£6.71 per kg,,fresh
Morrisons Savers Salad Cheese,Morrisons Savers Salad Cheese200g,85p,£4.25 per kg,,fresh
Morrisons Savers Salted Butter,Morrisons Savers Salted Butter250g,£1.89,£7.56 per kg,,fresh
Morrisons Savers Sausage & Mash,Morrisons Savers Sausage & Mash400g,£1.67,£4.18 per kg,,fresh
Morrisons Savers Spaghetti Bolognese,Morrisons Savers Spaghetti Bolognese400g,£1.67,£4.18 per kg,,fresh
Morrisons Savers Spaghetti Bolognese,Morrisons Savers Spaghetti Bolognese400g,85p,21.3p per 100g,,fresh
Morrisons Savers Spread,Morrisons Savers Spread900g,£1.69,18.8p per 100g,,fresh
Morrisons Savers Strawberry Trifle,Morrisons Savers Strawberry Trifle113g,33p,29.2p per 100g,,fresh
Morrisons Savers Sweet & Smokey Chicken Slices,Morrisons Savers Sweet & Smokey Chicken Slices210g,£1.99,94.8p per 100g,,fresh
Morrisons Savers Sweet & Sour Chicken,Morrisons Savers Sweet & Sour Chicken400g,85p,21.3p per 100g,,fresh
Morrisons Savers UHT Unsweetened Soya Milk Alternative,Morrisons Savers UHT Unsweetene...1L,50p,50p per litre,,fresh
Morrisons Savers Wafer Thin Cooked Ham,Morrisons Savers Wafer Thin Cooked Ham170g,£1.17,68.8p per 100g,,fresh
Morrisons Scottish Extra Mature White Cheddar,Morrisons Scottish Extra Mature White Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Scottish Mature Coloured Cheddar,Morrisons Scottish Mature Coloured Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Scottish Mature White Cheddar,Morrisons Scottish Mature White Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Scottish Medium Cheddar Cheese,Morrisons Scottish Medium Cheddar Cheese350g,£2.99,£8.54 per kg,,fresh
Morrisons Scottish Medium Coloured Cheddar,Morrisons Scottish Medium Coloured Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Scottish Medium White Cheddar,Morrisons Scottish Medium White Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Scottish Mild Coloured Cheddar,Morrisons Scottish Mild Coloured Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Scottish Mild White Cheddar,Morrisons Scottish Mild White Cheddar240g,£2.69,£11.21 per kg,,fresh
Morrisons Seafood Cocktail Sandwich,Morrisons Seafood Cocktail Sandwich200g,£1.89,94.5p per 100g,,fresh
Morrisons Semi Dried Tomato & Mozzarella,Morrisons Semi Dried Tomato & Mozzarella140g,£2.85,£2.04 per 100g,,fresh
Morrisons Semi Dried Tomatoes,Morrisons Semi Dried Tomatoes150g,£2.15,£1.43 per 100g,"Offer price £2.15, was £2.39",fresh
Morrisons Shepherds Pie,Morrisons Shepherds Pie400g,£3.49,87.3p per 100g,,fresh
Morrisons Shortcrust Minced Steak & Onion Pie,Morrisons Shortcrust Minced Steak & Onion Pie200g,£1.79,89.5p per 100g,,fresh
Morrisons Shortcrust Pastry Block,Morrisons Shortcrust Pastry Block425g,£1.29,30.4p per 100g,,fresh
Morrisons Shortcrust Steak & Kidney Pie,Morrisons Shortcrust Steak & Kidney Pie200g,£1.79,89.5p per 100g,,fresh
Morrisons Shortcrust Steak Pie,Morrisons Shortcrust Steak Pie200g,£1.79,89.5p per 100g,,fresh
Morrisons Short Crust Steak Pie,Morrisons Short Crust Steak Pie550g,£3.95,71.8p per 100g,,fresh
Morrisons Single Cream,Morrisons Single Cream150ml,80p,53.3p per 100ml,,fresh
Morrisons Single Cream,Morrisons Single Cream300ml,£1.20,40p per 100ml,,fresh
Morrisons Single Cream,Morrisons Single Cream600ml,£2.10,35p per 100ml,,fresh
Morrisons Sliced Cooked Beef Thin,Morrisons Sliced Cooked Beef Thin100g,£1.59,£1.59 per 100g,,fresh
Morrisons Sliced Spanish Chorizo,Morrisons Sliced Spanish Chorizo100g,£1.29,£1.29 per 100g,,fresh
Morrisons Slow Cooked Beef Stroganoff,Morrisons Slow Cooked Beef Stroganoff450g,£5,£11.11 per kg,,fresh
Morrisons Smoked Cheese Slices,Morrisons Smoked Cheese Slices160g,£2.65,£16.56 per kg,Buy 2 for £4.50,fresh
Morrisons Smoked Ham ,Morrisons Smoked Ham 100g,£2,£2.00 per 100g,,fresh
Morrisons Smooth Brussels Pate,Morrisons Smooth Brussels Pate200g,£1.25,62.5p per 100g,,fresh
Morrisons Smooth Brussels PÃ¢tÃ© Tub,Morrisons Smooth Brussels PÃ¢tÃ© Tub175g,99p,56.6p per 100g,,fresh
Morrisons Snack Celery Sticks With A Black Pepper Cream Cheese Dip,Morrisons Snack Celery Sticks With A Bl...125g,£1.75,£1.40 per 100g,Food To Go Meal Deal for £3.50,fresh
Morrisons Snack Salt & Pepper Breadsticks With A Red Pepper Harissa Dip,Morrisons Snack Salt & Pepper Breadsticks...125g,£1.50,£1.20 per 100g,Food To Go Meal Deal for £3.50,fresh
Morrisons Snack Seafood Sticks With Marie Rose Sauce,Morrisons Snack Seafood Stick...100g,£1.75,£1.75 per 100g,Food To Go Meal Deal for £3.50,fresh
Morrisons Soft Spread For Baking,Morrisons Soft Spread For Baking2kg,£3.39,£1.70 per kg,,fresh
Morrisons Soured Cream,Morrisons Soured Cream150ml,75p,50p per 100ml,,fresh
Morrisons Soured Cream,Morrisons Soured Cream300ml,£1.20,40p per 100ml,,fresh
Morrisons Soured Cream & Chive Dip,Morrisons Soured Cream & Chive Dip170g,£1.35,79.4p per 100g,Buy 2 for £2,fresh
Morrisons  Southern Fried Chicken Wrap,Morrisons  Southern Fried Chicken Wrap,£2.85,,Food To Go Meal Deal for £3.50,fresh
Morrisons South Indian Veg Curry,Morrisons South Indian Veg Curry400g,£1.99,49.8p per 100g,Buy 3 for £5,fresh
Morrisons Spaghetti & Meatballs ,Morrisons Spaghetti & Meatballs 400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Spaghetti Carbonara ,Morrisons Spaghetti Carbonara 400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Spanish Chicken & Potatoes ,Morrisons Spanish Chicken & Potatoes 1.35kg,£6.99,£5.18 per kg,,fresh
Morrisons Spanish Chorizo Ring,Morrisons Spanish Chorizo Ring200g,£2.49,£1.25 per 100g,,fresh
Morrisons Spanish Selection,Morrisons Spanish Selection120g,£2.75,£2.29 per 100g,,fresh
Morrisons Spanish Serrano Ham,Morrisons Spanish Serrano Ham80g,£1.80,£2.25 per 100g,,fresh
Morrisons Spicy Bean Enchiladas ,Morrisons Spicy Bean Enchiladas 400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Spicy Buffalo No Chick'n Sandwich,Morrisons Spicy Buffalo No Chick'n Sandwich206g,£2.85,£1.38 per 100g,,fresh
Morrisons Spicy Chorizo,Morrisons Spicy Chorizo100g,£1.29,£1.29 per 100g,,fresh
Morrisons Spicy Four Cheese Mix,Morrisons Spicy Four Cheese Mix200g,£2.65,£1.33 per 100g,Buy 2 for £4.50,fresh
Morrisons Spicy Sausage Tortelloni,Morrisons Spicy Sausage Tortelloni300g,£1.89,£6.30 per kg,Buy 2 for £3.50,fresh
Morrisons Spicy Spanish Chorizo Ring,Morrisons Spicy Spanish Chorizo Ring200g,£2.49,£1.25 per 100g,,fresh
Morrisons Spinach & Ricotta Cannelloni ,Morrisons Spinach & Ricotta Cannelloni 400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Spinach & Ricotta Tortelloni,Morrisons Spinach & Ricotta Tortelloni300g,£1.89,£6.30 per kg,Buy 2 for £3.50,fresh
Morrisons Spreadable,Morrisons Spreadable450g,£2.49,55.3p per 100g,,fresh
Morrisons Spreadable Goats Cheese ,Morrisons Spreadable Goats Cheese 150g,£1.95,£13.00 per kg,,fresh
Morrisons Steak & Ale with Cheesy Mash,Morrisons Steak & Ale with Cheesy Mash400g,£3.49,£8.73 per kg,Buy 2 for £6,fresh
Morrisons Steak & Kidney Pie,Morrisons Steak & Kidney Pie150g,99p,66p per 100g,,fresh
Morrisons Steak & Kidney Pie,Morrisons Steak & Kidney Pie400g,£3.75,93.8p per 100g,,fresh
Morrisons Steak Pie        ,Morrisons Steak Pie        150g,99p,66p per 100g,,fresh
Morrisons Stonebaked BBQ Chicken Pizza ,Morrisons Stonebaked BBQ Chicken Pizza 315g,£3.49,£11.08 per kg,Buy 2 for £6,fresh
Morrisons Stonebaked Cheese & Tomato Pizza ,Morrisons Stonebaked Cheese & Tomato Pizza 265g,£3.49,£13.17 per kg,Buy 2 for £6,fresh
Morrisons Stonebaked Ham & Pineapple Pizza ,Morrisons Stonebaked Ham & Pineapple Pizza 325g,£3.49,£10.74 per kg,Buy 2 for £6,fresh
Morrisons Stonebaked Meat Feast Pizza ,Morrisons Stonebaked Meat Feast Pizza 300g,£3.49,£11.63 per kg,Buy 2 for £6,fresh
Morrisons Stonebaked Pepperoni Pizza ,Morrisons Stonebaked Pepperoni Pizza 270g,£3.49,£12.93 per kg,Buy 2 for £6,fresh
Morrisons Stonebaked Spicy Chicken Pizza ,Morrisons Stonebaked Spicy Chicken Pizza 310g,£3.49,£11.26 per kg,Buy 2 for £6,fresh
Morrisons Stonebaked Spinach & Ricotta Pizza,Morrisons Stonebaked Spinach & Ricotta Pizza330g,£3.49,£10.58 per kg,Buy 2 for £6,fresh
Morrisons Strawberry & Banana Smoothie,Morrisons Strawberry & Banana Smoothie750ml,£1.80,24p per 100ml,,fresh
Morrisons Strawberry Cheesecakes ,Morrisons Strawberry Cheesecakes 3 x 100g,£2.25,75p per 100g,,fresh
Morrisons Strawberry Flavoured Fresh Milk,Morrisons Strawberry Flavoured Fresh Milk1L,£1.10,£1.10 per litre,"Offer price £1.10, was £1.25",fresh
Morrisons Strawberry Fromage Frais,Morrisons Strawberry Fromage Frais4 x 80g,£1,31.3p per 100g,,fresh
Morrisons Strawberry Fruited Yogurt,Morrisons Strawberry Fruited Yogurt150g,50p,33.3p per 100g,,fresh
Morrisons Strawberry Mousse,Morrisons Strawberry Mousse6 x 60g,£1.25,34.7p per 100g,,fresh
Morrisons Strawberry Protein Yoghurt,Morrisons Strawberry Protein Yoghurt200g,85p,42.5p per 100g,,fresh
Morrisons Strawberry Supreme Desserts,Morrisons Strawberry Supreme Desserts6 x 90g,£1.35,25p per 100g,,fresh
Morrisons Strawberry Trifle ,Morrisons Strawberry Trifle 600g,£2.49,41.5p per 100g,"Offer price £2.49, was £2.79",fresh
Morrisons Strawberry Trifles,Morrisons Strawberry Trifles3 x 135g,£1.99,49.1p per 100g,,fresh
Morrisons Stuffed Crust Cheese Feast Pizza ,Morrisons Stuffed Crust Cheese Feast Pizza 450g,£4,£8.89 per kg,,fresh
