name,Price Per Unit,Price Per Measure,Promotion
Genius Gluten Free Chocolate Cupcake ,Genius Gluten Free Chocolate Cupcake 2 per pack,£2.39,£1.20 each,Buy 2 for £3.20
Genius Gluten Free Crumpets ,Genius Gluten Free Crumpets 220g,£2.25,£1.02 per 100g,Buy 2 for £3.20
Genius Gluten Free Sliced Spicy Fruit Loaf ,Genius Gluten Free Sliced Spicy Fruit Loaf 400g,£2.69,67.3p per 100g,
Genius Gluten Free Soft Brown Sandwich loaf,Genius Gluten Free Soft Brown Sandwich loaf535g,£2.90,54.2p per 100g,
Genius Gluten Free Soft White Farmhouse Loaf,Genius Gluten Free Soft White Farmhouse Loaf535g,£2.90,54.2p per 100g,
Genius Gluten Free Triple Seeded Sandwich Loaf,Genius Gluten Free Triple Seeded Sandwich Loaf535g,£2.99,55.9p per 100g,
Genius Gluten Free White Sandwich Loaf,Genius Gluten Free White Sandwich Loaf430g,£2.90,67.4p per 100g,
Gordons Premium Pink Luscious Layer Celebration Cake Serves 16,Gordons Premium Pink Lusc…,£12,,
Hovis 4 Rustic Seeded Rolls,Hovis 4 Rustic Seeded Rolls4 per pack,£1.50,37.5p each,"Offer price £1.50, was £1.79"
Hovis 4 Rustic White Rolls,Hovis 4 Rustic White Rolls4 per pack,£1.50,37.5p each,"Offer price £1.50, was £1.79"
Hovis Bake At Home White Baguettes,Hovis Bake At Home White Baguettes2 per pack,£1.50,75p each,"Offer price £1.50, was £1.79"
Hovis Best of Both Medium Bread,Hovis Best of Both Medium Bread750g,£1.19,15.9p per 100g,
Hovis Best of Both Thick Bread,Hovis Best of Both Thick Bread750g,£1.19,15.9p per 100g,
Hovis Cheese Topped Rolls ,Hovis Cheese Topped Rolls 4 per pack,£1.69,42.3p each,
Hovis Farmhouse Soft White Bread,Hovis Farmhouse Soft White Bread800g,£1.19,14.9p per 100g,
Hovis Granary Cob,Hovis Granary Cob450g,£1.85,41.1p per 100g,
Hovis Granary Wholemeal Bread,Hovis Granary Wholemeal Bread800g,£1.95,24.4p per 100g,"Offer price £1.95, was £2.15"
Hovis Nimble Malted Danish,Hovis Nimble Malted Danish400g,£1.29,32.3p per 100g,
Hovis Nimble Wholemeal Bread,Hovis Nimble Wholemeal Bread400g,£1.29,32.3p per 100g,
Hovis Original Granary Bread,Hovis Original Granary Bread400g,£1.39,34.8p per 100g,
Hovis Original Granary Medium Bread,Hovis Original Granary Medium Bread800g,£1.95,24.4p per 100g,"Offer price £1.95, was £2.15"
Hovis Original Wheatgerm Bread,Hovis Original Wheatgerm Bread400g,£1.29,32.3p per 100g,
Hovis Premium Burger Buns,Hovis Premium Burger Buns4 per pack,£1.69,42.3p each,
Hovis Premium Hot Dog Rolls ,Hovis Premium Hot Dog Rolls 4 per pack,£1.69,42.3p each,
Hovis Scotch Pancakes,Hovis Scotch Pancakes9 per pack,£1.25,13.9p each,
Hovis Seeded Batch Bread,Hovis Seeded Batch Bread800g,£1.50,18.8p per 100g,Buy 2 for £2.50
Hovis Seeded Cob ,Hovis Seeded Cob 450g,£1.85,41.1p per 100g,
Hovis Seeded Deli Rolls,Hovis Seeded Deli Rolls4 per pack,£1.69,42.3p each,
Hovis Seed Sensations Seven Seeds Bread,Hovis Seed Sensations Seven Seeds Bread800g,£2.15,26.9p per 100g,
Hovis Seed Sensations Seven Seeds Bread ,Hovis Seed Sensations Seven Seeds Bread 400g,£1.39,34.8p per 100g,
Hovis Soft White Extra Thick Bread,Hovis Soft White Extra Thick Bread800g,£1.45,18.1p per 100g,Buy 2 for £2.50
Hovis Soft White Medium Bread,Hovis Soft White Medium Bread800g,£1.45,18.1p per 100g,Buy 2 for £2.50
Hovis Soft White Thick Bread ,Hovis Soft White Thick Bread 800g,£1.45,18.1p per 100g,Buy 2 for £2.50
Hovis Tasty Wholemeal Bread ,Hovis Tasty Wholemeal Bread 400g,£1.29,32.3p per 100g,
Hovis Tasty Wholemeal Medium Bread,Hovis Tasty Wholemeal Medium Bread800g,£1.45,18.1p per 100g,Buy 2 for £2.50
Hovis Tasty Wholemeal Thick Bread,Hovis Tasty Wholemeal Thick Bread800g,£1.45,18.1p per 100g,Buy 2 for £2.50
Hovis White Cob ,Hovis White Cob 450g,£1.85,41.1p per 100g,
