name,Price Per Unit,Price Per Measure,Promotion
Morrisons Market St King Prawns With Seafood Sauce,Morrisons Market St King Pr…100g,£1.50,£1.50 per 100g,
Morrisons Market St Raw Peeled King Prawns,Morrisons Market St Raw Peeled King Prawns150g,£3.75,£25.00 per kg,Buy 3 for £10
Morrisons Market Street 2 Cod Fillets,Morrisons Market Street 2 Cod Fillets220g,£4.25,£19.32 per kg,
Morrisons Market Street 2 Haddock Fillets,Morrisons Market Street 2 Haddock Fillets220g,£4.25,£19.32 per kg,Buy 3 for £10
Morrisons Market Street 2 Salmon Fillets ,Morrisons Market Street 2 Salmon Fillets 220g,£4.49,£20.41 per kg,
Morrisons Market Street 2 Sea Bass Fillets,Morrisons Market Street 2 Sea Bass Fillets180g,£4.25,£23.61 per kg,Buy 3 for £10
Morrisons Market Street Beef And Pork Mince,Morrisons Market Street Beef And Pork Mince650g,£4.25,65.4p per 100g,Buy 3 for £10
Morrisons Market Street British Turkey Thigh Mince ,Morrisons Market Street British Turkey Thigh Mince 750g,£4.25,£5.67 per kg,Buy 3 for £10
Morrisons Market Street Cooked Cockle Meat ,Morrisons Market Street Cooked Cockle Meat 180g,£4.25,£23.61 per kg,Buy 3 for £10
Morrisons Market Street Cooked Half Shell Mussels ,Morrisons Market Street Cooked Half Shell Mussels 350g,£4.25,£1.21 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Jumbo King Prawns ,Morrisons Market Street Coo…200g,£4.25,£2.13 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Large Cold Water Prawns,Morrisons Market Street Cooked…210g,£4.25,£2.02 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Mussel Meat,Morrisons Market Street Cooked Mussel Meat400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Seafood Selection ,Morrisons Market Street Cooked Seafood Selection 250g,£4.25,£17.00 per kg,Buy 3 for £10
Morrisons Market Street Cooked Shell On Cold Water Prawns,Morrisons Market Street Cooked Sh…400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Market Street Peppered Hot Smoked Mackerel Fillets,Morrisons Market Street Peppered Ho…Typically: 250g,£2.20,£11.00 per kg,
Morrisons Market Street Raw Easy Peel Shell On Argentinian Red Shrimp,Morrisons Market Street Raw Easy Peel She…180g,£4.25,£23.61 per kg,Buy 3 for £10
Morrisons Market Street Raw Peeled King Prawns,Morrisons Market Street Raw Peeled King Prawns200g,£4.25,£21.25 per kg,Buy 3 for £10
Morrisons Market Street Raw Razor Clams ,Morrisons Market Street Raw Razor Clams 400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Market Street Raw Squid Rings,Morrisons Market Street Raw Squid Rings250g,£4.25,£17.00 per kg,Buy 3 for £10
Morrisons Market Street Raw White Shell Clams,Morrisons Market Street Raw White Shell Clams400g,£4.25,£10.63 per kg,Buy 3 for £10
Morrisons Market Street Raw Whole King Prawns,Morrisons Market Street Raw Whole King Prawns200g,£4.25,£21.25 per kg,Buy 3 for £10
Morrisons Market Street Raw Whole Squid ,Morrisons Market Street Raw Whole Squid 300g,£4.25,£14.17 per kg,Buy 3 for £10
Morrisons Market Street Smoked Mackerel Fillets,Morrisons Market Street Smoked Mackerel FilletsTypically: 250g,£2.20,£11.00 per kg,
Morrisons Market Street  Smoked Salmon,Morrisons Market Street  Smoked Salmon120g,£3.75,£3.13 per 100g,Buy 3 for £10
Morrisons Market Street Sweet Chilli Smoked Mackerel Fillets,Morrisons Market Street Sweet Chill…Typically: 191g,£2.20,£11.00 per kg,
Morrisons Market Street Sweetcure Smoked Mackerel Fillets,Morrisons Market Street Sweetcure…Typically: 191g,£2.20,£11.00 per kg,
Morrisons Market Street Whitebait,Morrisons Market Street Whitebait500g,£4.25,£8.50 per kg,Buy 3 for £10
Morrisons Market St Seafood Sticks,Morrisons Market St Seafood Sticks250g,£1.19,47.6p per 100g,Buy 2 for £2
Morrisons Parsley Sauce,Morrisons Parsley Sauce180g,£1.25,69.4p per 100g,
Morrisons Pork Boneless Shoulder Joint,Morrisons Pork Boneless Shoulder Joint,£4.25,,Buy 3 for £10
Morrisons Prawn Cocktail,Morrisons Prawn Cocktail170g,£2.25,£1.32 per 100g,
Morrisons Prawn Cocktail Sauce,Morrisons Prawn Cocktail Sauce180g,£1,55.6p per 100g,
Morrisons Ready to Eat King Prawns ,Morrisons Ready to Eat King Prawns 210g,£4.25,£2.02 per 100g,
Morrisons Ready To Eat Smoked Salmon Slices,Morrisons Ready To Eat Smoked Salmon Slices60g,£2,£3.33 per 100g,
Morrisons Roll Mop Herrings,Morrisons Roll Mop Herrings260g,£1.75,67.3p per 100g,
"Morrisons Salmon Skewers With Chilli, Lime & Soy ",Morrisons Salmon Skewers Wi…200g,£4.25,£21.25 per kg,
Morrisons Savers Mussels in a Tomato & Herb Sauce,Morrisons Savers Mussels in a Tomato & Herb Sauce450g,£1.50,33.3p per 100g,
Morrisons Seafood Snack Pack Prawns & Cocktail Sauce ,Morrisons Seafood Snack Pack…190g,£3.35,£1.76 per 100g,
Morrisons Shell On King Prawns,Morrisons Shell On King Prawns200g,£3.75,£18.75 per kg,Buy 3 for £10
Morrisons Smoked Back Bacon 20 Rashers,Morrisons Smoked Back Bacon 20 Rashers600g,£4.25,£7.08 per kg,Buy 3 for £10
Morrisons Smoked Gammon Joint,Morrisons Smoked Gammon Joint750g,£4.25,£5.67 per kg,Buy 3 for £10
Morrisons Steamed Salmon Fillets 2 Pack,Morrisons Steamed Salmon Fillets 2 Pack180g,£4.50,£2.50 per 100g,
Morrisons Sweetcure Herring,Morrisons Sweetcure Herring280g,£2,71.4p per 100g,
Morrisons The Best 10 Thick Pork Sausages,Morrisons The Best 10 Thick Pork Sausages600g,£4.25,£7.08 per kg,Buy 3 for £10
Morrisons The Best 20 Pork Chipolatas,Morrisons The Best 20 Pork Chipolatas560g,£4.25,£7.59 per kg,Buy 3 for £10
Morrisons The Best 2 Breaded Chunky Cod Fillets,Morrisons The Best 2 Brea…350g,£4.25,£12.14 per kg,
Morrisons The Best 2 Breaded Chunky Haddock Fillets,Morrisons The Best 2 Breaded…325g,£4.25,£13.08 per kg,
Morrisons The Best 2 Cod & Parsley Sauce Fish Cakes,Morrisons The Best 2 Cod & Pa…290g,£2.75,94.8p per 100g,Buy 2 for £5
Morrisons The Best 2 Scottish Salmon Fillets,Morrisons The Best 2 Scottish Salmon Fillets220g,£4.99,£22.68 per kg,
Morrisons The Best Chunky Thai Salmon & Prawn Fishcakes,Morrisons The Best Chunky Thai…290g,£2.75,£9.48 per kg,Buy 2 for £5
Morrisons The Best Jumbo King Prawns,Morrisons The Best Jumbo King Prawns150g,£3.80,£25.33 per kg,
Morrisons The Best Lightly Smoked Scottish  Salmon,Morrisons The Best Lightly Smoked Scottish  Salmon240g,£4.50,£18.75 per kg,
Morrisons The Best Naked Smoked Haddock & Applewood Cheddar Fishcakes,Morrisons The Best Naked Smok…290g,£2.75,£9.48 per kg,Buy 2 for £5
Morrisons The Best Prawn Cocktail ,Morrisons The Best Prawn Cocktail 200g,£2.99,£14.95 per kg,"Offer price £2.99, was £3.29"
"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce","Morrisons The Best Salmon,Smoke…290g",£2.75,£9.48 per kg,Buy 2 for £5
Morrisons The Best Scottish Smoked Salmon Slices,Morrisons The Best Scottish…120g,£4.99,£4.16 per 100g,
Morrisons The Best Smoked Haddock & West Country Cheddar Centre Fishcakes,Morrisons The Best Smoked Haddo…290g,£2.75,£9.48 per kg,Buy 2 for £5
Morrisons The Best Sockeye Salmon,Morrisons The Best Sockeye Salmon220g,£6,£27.27 per kg,
Morrisons The Best Yellow Fin Tuna ,Morrisons The Best Yellow Fin Tuna 240g,£7,£29.17 per kg,
Morrisons Tikka Style Diced Chicken Breast,Morrisons Tikka Style Diced Chicken Breast350g,£4.25,£1.21 per 100g,Buy 3 for £10
Morrisons Unsmoked Back Bacon 20 Rashers,Morrisons Unsmoked Back Bacon 20 Rashers600g,£4.25,£7.08 per kg,Buy 3 for £10
Morrisons Unsmoked Gammon Joint,Morrisons Unsmoked Gammon Joint750g,£4.25,£5.67 per kg,Buy 3 for £10
Morrisons Unsmoked Horseshoe Gammon Steaks,Morrisons Unsmoked Hors…2 x 200g,£4.25,£10.63 per kg,Buy 3 for £10
Morrisons Zingy Whitefish Goujons,Morrisons Zingy Whitefish Goujons200g,£2.50,£12.50 per kg,
Ocean Isle Premium Crab Meat,Ocean Isle Premium Crab Meat100g,£4.50,£4.50 per 100g,
Parson's Pickled Cockles,Parson's Pickled Cockles155g,£1.75,£1.13 per 100g,
Parson's Pickled Mussels,Parson's Pickled Mussels155g,£1.49,96.1p per 100g,
Richmond 20 Thick Pork Sausages Twin Pack,Richmond 20 Thick Pork Sausages Twin Pack2 x 512g,£4.25,41.5p per 100g,Buy 3 for £10
Sharwood's Low Fat Popped Cracker Ready To Eat Prawn,Sharwood's Low Fat Popped Cra…60g,£1.75,£2.92 per 100g,
