name,Price Per Unit,Price Per Measure,Promotion
Activia Low Fat Yogurt Raspberry & Chia Seed Muesli ,Activia Low Fat Yogurt Raspbe…165g,£1.85,£1.12 per 100g,Buy 3 for £2.50
Activia Peach 0% Fat Yogurt,Activia Peach 0% Fat Yogurt4 x 115g,£2.49,54.1p per 100g,
Activia Rhubarb Mixed Fruit Yogurt,Activia Rhubarb Mixed Fruit Yogurt8 x 115g,£3.99,43.4p per 100g,
Activia Rhubarb Yogurt,Activia Rhubarb Yogurt4 x 115g,£2.49,54.1p per 100g,
Activia Strawberry Mixed Fruit Yogurt,Activia Strawberry Mixed Fruit Yogurt8 x 115g,£3.99,43.4p per 100g,
Activia Strawberry Red Fruit 0% Yogurt,Activia Strawberry Red Fruit 0% Yogurt8 x 115g,£3.99,43.4p per 100g,
Activia Strawberry Yellow Fruit Yogurt,Activia Strawberry Yellow Fruit Yogurt8 x 115g,£4,43.5p per 100g,
Activia Strawberry Yogurt,Activia Strawberry Yogurt4 x 115g,£2.49,54.1p per 100g,
Activia Vanilla 0% Fat Yogurt,Activia Vanilla 0% Fat Yogurt4 x 115g,£2.49,54.1p per 100g,
Activia Vanilla Yogurt With Granola,Activia Vanilla Yogurt With Granola165g,£1.85,£1.12 per 100g,Buy 3 for £2.50
Aero Chocolate Mousse,Aero Chocolate Mousse4 x 59g,£1.99,84.3p per 100g,
Agour Ossau Iraty,Agour Ossau Iraty180g,£3.75,£20.83 per kg,
Alf Turner 1 Chilli Scotch Egg,Alf Turner 1 Chilli Scotch Egg120g,£1.80,£1.50 per 100g,
Alpro Almond Chilled Drink,Alpro Almond Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Almond Long Life Drink,Alpro Almond Long Life Drink1L,£2,£2.00 per litre,
Alpro Almond No Sugars Chilled Drink,Alpro Almond No Sugars Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Almond No Sugars Long Life Drink ,Alpro Almond No Sugars Long Life Drink 1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2"
Alpro Barista Almond ,Alpro Barista Almond 1L,£2.30,£2.30 per litre,
Alpro Barista Oat ,Alpro Barista Oat 1L,£2.30,£2.30 per litre,
Alpro Barista Oat Chilled Drink,Alpro Barista Oat Chilled Drink750ml,£1.50,£2.00 per litre,"Offer price £1.50, was £2"
Alpro Blueberry & Cherry Yoghurt Alternative ,Alpro Blueberry & Cherry Yoghurt Alternative 4 x 125g,£1.79,35.8p per 100g,"Offer price £1.79, was £2"
Alpro Chocolate-Hazelnut Dessert ,Alpro Chocolate-Hazelnut Dessert 2 x 113g,£1.75,77.4p per 100g,
Alpro Coconut Almond Chilled Drink,Alpro Coconut Almond Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Coconut Chilled Drink,Alpro Coconut Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Coconut Long Life Drink ,Alpro Coconut Long Life Drink 1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2"
Alpro Coconut No Sugars Chilled Drink,Alpro Coconut No Sugars Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Coconut No Sugars Long Life Drink,Alpro Coconut No Sugars Long Life Drink1L,£2,£2.00 per litre,
Alpro Dark Chocolate Dessert,Alpro Dark Chocolate Dessert4 x 125g,£2,40p per 100g,
Alpro Double Chocolate Almond Mousse & Ganache ,Alpro Double Chocolate Al…2 x 70g,£2.20,£1.57 per 100g,
Alpro Greek Style Plain Yoghurt Alternative ,Alpro Greek Style Plain Yoghurt Alternative 400g,£1.95,48.8p per 100g,
Alpro Growing Up Oat Drink 1 - 3 Years+ ,Alpro Growing Up Oat Drink 1 - 3 Years+ 1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2"
Alpro Hazelnut Chilled Drink,Alpro Hazelnut Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Hazelnut Long Life Drink,Alpro Hazelnut Long Life Drink1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2.05"
Alpro More Fruit No Added Sugars Mango Yoghurt Alternative ,Alpro More Fruit No Added Sugars…400g,£1.85,46.3p per 100g,
Alpro My Cuppa Soya Chilled Drink ,Alpro My Cuppa Soya Chilled Drink 750ml,£1.50,£2.00 per litre,"Offer price £1.50, was £1.85"
Alpro Oat Chilled Drink,Alpro Oat Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Oat Long Life Drink,Alpro Oat Long Life Drink1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2.10"
Alpro Oat No Sugars Chilled Drink,Alpro Oat No Sugars Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Oat No Sugars Long Life Drink,Alpro Oat No Sugars Long Life Drink1L,£2.15,£2.15 per litre,
Alpro Plain No Sugars Yoghurt Alternative ,Alpro Plain No Sugars Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Plain with Coconut Yoghurt Alternative ,Alpro Plain with Coconut Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Plain Yoghurt Alternative ,Alpro Plain Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Rice Long Life Drink,Alpro Rice Long Life Drink1L,£1.95,£1.95 per litre,
Alpro Soya Chilled Alternative to Single Cream,Alpro Soya Chilled Altern…250ml,£1.40,56p per 100ml,
Alpro Soya Chilled Drink,Alpro Soya Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Chocolate Chilled Drink,Alpro Soya Chocolate Chilled Drink1L,£2.05,£2.05 per litre,
Alpro Soya Chocolate Long Life Drink,Alpro Soya Chocolate Long Life Drink1L,£2,£2.00 per litre,
Alpro Soya Growing Up Long Life Drink,Alpro Soya Growing Up Long Life Drink1L,£1.95,£1.95 per litre,
Alpro Soya High Protein Chocolate Long Life Drink,Alpro Soya High Protein Chocolate Long Life Drink1L,£2.30,£2.30 per litre,
Alpro Soya High Protein Long Life Drink,Alpro Soya High Protein Long Life Drink1L,£2.30,£2.30 per litre,
Alpro Soya Light Chilled Drink,Alpro Soya Light Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Light Long Life Drink,Alpro Soya Light Long Life Drink1L,£1.89,£1.89 per litre,
Alpro Soya Long Life Drink,Alpro Soya Long Life Drink1L,£2,£2.00 per litre,
Alpro Soya No Sugars Chilled Drink,Alpro Soya No Sugars Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Strawberry Long Life Drink,Alpro Soya Strawberry Long Life Drink3 x 250ml,£1.95,£2.60 per litre,
Alpro Soya Unsweetened Long Life Drink,Alpro Soya Unsweetened Long Life Drink1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2"
Alpro Strawberry-Banana & Peach-Pear Yoghurt Alternative ,Alpro Strawberry-Banana & Peach-P…4 x 125g,£1.79,35.8p per 100g,"Offer price £1.79, was £2"
Alpro Strawberry Yoghurt Alternative ,Alpro Strawberry Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro This Is Not Milk Semi,Alpro This Is Not Milk Semi1L,£2,£2.00 per litre,
Alpro This Is Not Milk Whole,Alpro This Is Not Milk Whole1L,£2,£2.00 per litre,
Alpro Vanilla Custard,Alpro Vanilla Custard525g,£1.40,26.7p per 100g,
Alpro Vanilla Yoghurt Alternative ,Alpro Vanilla Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Velvet Vanilla Dessert,Alpro Velvet Vanilla Dessert4 x 125g,£2,40p per 100g,
Ambrosia Belgian Chocolate Mousse Pots,Ambrosia Belgian Chocolate Mousse Pots2 x 60g,£1.60,£1.33 per 100g,
Ambrosia Dessert Pot Chocolate & Salted Caramel,Ambrosia Dessert Pot Choc…220g,£1,45.5p per 100g,
Anchor Block Butter,Anchor Block Butter250g,£2.49,£9.96 per kg,
Anchor Lighter Spreadable,Anchor Lighter Spreadable500g,£4.75,£9.50 per kg,
Anchor Spreadable,Anchor Spreadable250g,£2.75,£11.00 per kg,
Anchor Spreadable,Anchor Spreadable500g,£4.75,95p per 100g,
Anchor Spreadable Big Pack ,Anchor Spreadable Big Pack 750g,£5.25,70p per 100g,"Offer price £5.25, was £6.75"
Anchor Unsalted Block Butter,Anchor Unsalted Block Butter250g,£2.49,£9.96 per kg,
Angel Delight Butterscotch & Chocolate Pot ,Angel Delight Buttersco…100g,75p,75p per 100g,"Offer price 75p, was £1"
