name,Price Per Unit,Price Per Measure,Promotion
Bol One Pot Meal Spanish Smoky Butter Bean Stew,Bol One Pot Meal Spanish Smoky Butter Bean Stew450g,£3.25,72.2p per 100g,Buy 2 for £5
Boursin Plant Based Vegan Garlic & Herbs,Boursin Plant Based Vegan Garlic & Herbs130g,£3,£2.31 per 100g,
Buttermilk Hot Choccy Bombe,Buttermilk Hot Choccy Bombe57g,£2,£3.51 per 100g,"Offer price £2, was £3"
Buttermilk Plant Powered Choccy Bunny,Buttermilk Plant Powered Choccy Bunny115g,£3,£2.61 per 100g,"Offer price £3, was £3.50"
Buttermilk Zingy Orange Crisp Choccy Bunny Bar,Buttermilk Zingy Orange Crisp Choccy Bunny Bar35g,£1,£2.86 per 100g,"Offer price £1, was £1.15"
Califia Farms Cold Brew Caramel Oat Coffee,Califia Farms Cold Brew Caramel Oat Coffee,£2.95,,
Califia Farms Mocha Cold Brew Coffee With Almond,Califia Farms Mocha Cold Brew Coffee With Almond750ml,£2.95,39.3p per 100ml,
Califia Farms Oat Barista Chilled,Califia Farms Oat Barista Chilled1L,£1.50,15p per 100ml,"Offer price £1.50, was £2"
Cathedral City Dairy Free,Cathedral City Dairy Free280g,£3.59,£1.28 per 100g,
Cathedral City Dairy Free Grated,Cathedral City Dairy Free Grated150g,£2.49,£1.66 per 100g,
Cathedral City Dairy Free Sliced,Cathedral City Dairy Free Sliced150g,£2.49,£1.66 per 100g,
Cathedral City Lactose Free Mature Cheddar Cheese ,Cathedral City Lactose Free…200g,£2.25,£11.25 per kg,"Offer price £2.25, was £2.65"
Chippa Gluten Free Mayonnaise,Chippa Gluten Free Mayonnaise280g,£1.50,53.6p per 100g,
Crave Pickled Onion Monster Feet Sharing Bag,Crave Pickled Onion Monster Feet Sharing Bag80g,£1.90,£2.38 per 100g,
Crave The Big Dipper,Crave The Big Dipper48g,£1.65,£3.44 per 100g,
Daim Chocolate Cake With Crunchy Caramel ,Daim Chocolate Cake With Crunchy Caramel 400g,£3.99,99.8p per 100g,
Deliciously Ella Almond Butter & Salted Caramel Cups ,Deliciously Ella Almond Butte…36g,£1.50,£4.17 per 100g,Buy 2 for £2
Deliciously Ella Chocolate Orange Dipped Almonds,Deliciously Ella Chocolate Orange Dipped Almonds27g,£1,£3.70 per 100g,
Deliciously Ella Double Chocolate Caramel Cups ,Deliciously Ella Double Chocolate Caramel Cups 36g,£1.50,£4.17 per 100g,Buy 2 for £2
Deli Italia Beef & Mortadella Tortellini Gluten Free,Deli Italia Beef & Mortadella…250g,£3.90,£15.60 per kg,
Doves Farm Foods Gluten Free Xanthan Gum,Doves Farm Foods Gluten Free Xanthan Gum100g,£2.75,£2.75 per 100g,
Doves Farm Gluten & Wheat Free Plain White Flour Blend,Doves Farm Gluten & Wheat Free…1kg,£1.95,£1.95 per kg,
Doves Farm Gluten & Wheat Free White Bread Flour,Doves Farm Gluten & Wheat F…1kg,£1.95,£1.95 per kg,
Doves Farm Gluten Free Self-Raising White Flour,Doves Farm Gluten Free Self-Raising White Flour1kg,£1.95,£1.95 per kg,
Dr. Oetker Bicarbonate of Soda,Dr. Oetker Bicarbonate of Soda200g,£1.59,79.5p per 100g,
Dr. Oetker Gluten Free Baking Powder,Dr. Oetker Gluten Free Baking Powder170g,£1.59,93.5p per 100g,
Dr. Oetker Liquid Glucose,Dr. Oetker Liquid Glucose140g,£2.15,£1.54 per 100g,
Dr. Oetker Ristorante Gluten Free Mozzarella Pizza,Dr. Oetker Ristorante Glute…370g,£3.50,£9.46 per kg,"Offer price £3.50, was £3.80"
Easibake Gluten Free Garlic Bread Baguette With Garlic & Parsley,Easibake Gluten Free Garlic Bread Bag…170g,£2.29,£1.35 per 100g,
