name,Price Per Unit,Price Per Measure,Promotion
Alpro My Cuppa Soya Chilled Drink ,Alpro My Cuppa Soya Chilled Drink 750ml,£1.50,£2.00 per litre,"Offer price £1.50, was £1.85"
Alpro Oat Long Life Drink,Alpro Oat Long Life Drink1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2.10"
Alpro Rice Long Life Drink,Alpro Rice Long Life Drink1L,£1.95,£1.95 per litre,
Alpro Soya Chilled Drink,Alpro Soya Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Chocolate Chilled Drink,Alpro Soya Chocolate Chilled Drink1L,£2.05,£2.05 per litre,
Alpro Soya Growing Up Long Life Drink,Alpro Soya Growing Up Long Life Drink1L,£1.95,£1.95 per litre,
Alpro Soya Light Chilled Drink,Alpro Soya Light Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Light Long Life Drink,Alpro Soya Light Long Life Drink1L,£1.89,£1.89 per litre,
Alpro Soya Long Life Drink,Alpro Soya Long Life Drink1L,£2,£2.00 per litre,
Alpro Soya No Sugars Chilled Drink,Alpro Soya No Sugars Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Strawberry Long Life Drink,Alpro Soya Strawberry Long Life Drink3 x 250ml,£1.95,£2.60 per litre,
Alpro Soya Unsweetened Long Life Drink,Alpro Soya Unsweetened Long Life Drink1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2"
Appletiser ,Appletiser 750ml,£2,26.7p per 100ml,
Appletiser 100% Apple Juice Lightly Sparkling,Appletiser 100% Apple Juice Lightly Sparkling6 x 250ml,£4.69,31.3p per 100ml,
Aqua Libra Sparkling Water Cucumber Mint & Lime ,Aqua Libra Sparkling Water…4 x 330ml,£3.35,25.4p per 100ml,
Aqua Libra Sparkling Water Raspberry & Blackcurrant ,Aqua Libra Sparkling Water Ra…4 x 330ml,£3.35,25.4p per 100ml,
Arctic Cafe Latte,Arctic Cafe Latte330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arctic Coffee Cafe Latte,Arctic Coffee Cafe Latte1L,£2.19,21.9p per 100ml,
Arctic Coffee Caramel Latte,Arctic Coffee Caramel Latte330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arctic Coffee Caramel Latte Iced Coffee ,Arctic Coffee Caramel Latte Iced Coffee 1L,£2.19,£2.19 per litre,
Arctic Coffee Intenso,Arctic Coffee Intenso330ml,£1,30.3p per 100ml,"Offer price £1, was £1.15"
Arctic Coffee Intenso,Arctic Coffee Intenso1L,£2.19,21.9p per 100ml,
Arctic Coffee Skinny Latte,Arctic Coffee Skinny Latte330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Arctic Coffee White Chocolate,Arctic Coffee White Chocolate330ml,£1,£3.03 per litre,"Offer price £1, was £1.15"
Barr American Cream Soda,Barr American Cream Soda2L,£1.09,5.5p per 100ml,
Barr American Cream Soda ,Barr American Cream Soda 24 x 330ml,£7,8.8p per 100ml,Buy Any 3 Packs of Pop for £20
Barr Cherryade ,Barr Cherryade 24 x 330ml,£7,8.8p per 100ml,Buy Any 3 Packs of Pop for £20
Barr Lemonade,Barr Lemonade2L,£1.09,5.5p per 100ml,
Barr Lemonade ,Barr Lemonade 24 x 330ml,£7,8.8p per 100ml,Buy Any 3 Packs of Pop for £20
Barr Limeade,Barr Limeade2L,£1.09,5.5p per 100ml,
Barr Red Kola,Barr Red Kola2L,£1.09,5.5p per 100ml,
Belvoir Fruit Elderflower Cordial ,Belvoir Fruit Elderflower Cordial 500ml,£3,60p per 100ml,"Offer price £3, was £4.35"
Belvoir Fruit Farms Elderflower Presse ,Belvoir Fruit Farms Elderflower Presse 750ml,£2.25,30p per 100ml,"Offer price £2.25, was £3.50"
Belvoir Fruit Farms Ginger Beer ,Belvoir Fruit Farms Ginger Beer 750ml,£2.25,30p per 100ml,"Offer price £2.25, was £3.50"
Belvoir Fruit Farms Raspberry Lemonade ,Belvoir Fruit Farms Raspberry Lemonade 750ml,£2.25,30p per 100ml,"Offer price £2.25, was £3.50"
Belvoir Fruit Ginger Cordial ,Belvoir Fruit Ginger Cordial 500ml,£3,60p per 100ml,"Offer price £3, was £4.35"
Benecol Blueberry Smooth Yogurt Drinks,Benecol Blueberry Smooth Yogurt Drinks6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Original No Added Sugar Yogurt Drink,Benecol Original No Added Sugar Yogurt Drink6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Peach & Apricot No Added Sugar Yogurt Drink,Benecol Peach & Apricot No Ad…6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Raspberry No Added Sugar Yogurt Drink ,Benecol Raspberry No Added Sugar Yogurt Drink 6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Benecol Strawberry Yogurt Drink,Benecol Strawberry Yogurt Drink6 x 67.5g,£3.70,91.4p per 100g,"Offer price £3.70, was £4.29"
Big Tom Spiced Tomato Juice,Big Tom Spiced Tomato Juice75cl,£3.10,41.3p per 100ml,
Biotiful Kefir Mango,Biotiful Kefir Mango500ml,£2.59,51.8p per 100ml,
Biotiful Kefir Original,Biotiful Kefir Original500ml,£2.59,51.8p per 100ml,
Bottlegreen Elderflower Cordial,Bottlegreen Elderflower Cordial500ml,£3.40,68p per 100ml,
Bottlegreen Ginger & Lemongrass Cordial,Bottlegreen Ginger & Lemongrass Cordial500ml,£3.40,68p per 100ml,
Bottlegreen Pomegranate & Elderflower Sparkling Presse,Bottlegreen Pomegranate & Elder…750ml,£3,40p per 100ml,Buy 2 for £4.50
