name,Price Per Unit,Price Per Measure,Promotion
Morrisons Butterhead Salad,Morrisons Butterhead Salad80g,99p,£1.24 per 100g,
Morrisons Butternut Squash,Morrisons Butternut Squash,£1.35,,
Morrisons Button Mushrooms,Morrisons Button Mushrooms200g,£1.19,£5.95 per kg,
Morrisons Caesar Dressing ,Morrisons Caesar Dressing 175ml,£1.39,79.4p per 100ml,
Morrisons Caesar Salad,Morrisons Caesar Salad200g,£1.49,74.5p per 100g,
Morrisons Carrot & Broccoli Florets,Morrisons Carrot & Broccoli Florets375g,£1.49,39.7p per 100g,
Morrisons Carrot & Peas,Morrisons Carrot & Peas300g,£1.09,36.3p per 100g,
Morrisons Carrot & Swede Mash ,Morrisons Carrot & Swede Mash 400g,£1.39,£3.48 per kg,
"Morrisons Carrot, Broccoli & Brussels Sprouts","Morrisons Carrot, Broccoli & Brussels Sprouts300g",£1.49,49.7p per 100g,
"Morrisons Carrot, Broccoli & Cauliflower","Morrisons Carrot, Broccoli & Cauliflower250g",99p,£3.96 per kg,
Morrisons Carrot Batons ,Morrisons Carrot Batons 325g,89p,£2.74 per kg,
Morrisons Carrots ,Morrisons Carrots 500g,30p,60p per kg,"Offer price 30p, was 35p"
Morrisons Carrots ,Morrisons Carrots 1kg,19p,19p per kg,"Offer price 19p, was 50p"
Morrisons Cashew Nuts,Morrisons Cashew Nuts250g,£4,£1.60 per 100g,
Morrisons Cashews,Morrisons Cashews180g,£2.49,£13.83 per kg,Buy 2 for £4
Morrisons Casserole Vegetables,Morrisons Casserole Vegetables600g,£1.49,24.8p per 100g,
Morrisons Celeriac ,Morrisons Celeriac 900g,£1.32,£1.47 per kg,
Morrisons Celery ,Morrisons Celery ,57p,,"Offer price 57p, was 65p"
Morrisons Celery Sticks,Morrisons Celery Sticks250g,85p,£3.40 per kg,
Morrisons Chantenay Carrots,Morrisons Chantenay Carrots500g,99p,£1.98 per kg,
Morrisons Cherries,Morrisons Cherries200g,£2.15,£10.75 per kg,
Morrisons Cherry Tomatoes  ,Morrisons Cherry Tomatoes  420g,£1.25,£2.98 per kg,
Morrisons Chestnut Mushrooms ,Morrisons Chestnut Mushrooms 250g,£1.19,£4.76 per kg,
Morrisons Chia Seeds ,Morrisons Chia Seeds 150g,£1.49,99.3p per 100g,
"Morrisons Chicken, Bacon And Sweet Corn Pasta Salad","Morrisons Chicken, Bacon And…260g",£1.99,76.5p per 100g,
Morrisons Chicory ,Morrisons Chicory 2 per pack,£1.49,74.5p each,
Morrisons Chinese Leaf ,Morrisons Chinese Leaf ,£1.35,,
Morrisons Chinese Stir Fry,Morrisons Chinese Stir Fry300g,£1.49,49.7p per 100g,Buy 3 for £2.50
Morrisons Chopped Iceberg Lettuce,Morrisons Chopped Iceberg Lettuce200g,99p,49.5p per 100g,
Morrisons Chow Mein Stir Fry Sauce,Morrisons Chow Mein Stir Fry Sauce170g,£1.09,64.1p per 100g,Buy 3 for £2.50
Morrisons Classic Fruit Salad,Morrisons Classic Fruit Salad220g,£2.25,£1.02 per 100g,
Morrisons Closed Cup Mushrooms ,Morrisons Closed Cup Mushrooms 300g,94p,£3.13 per kg,
Morrisons Colcannon Mash,Morrisons Colcannon Mash400g,99p,£2.48 per kg,
Morrisons Conference Pears,Morrisons Conference Pears4 per pack,£1.59,39.8p each,
Morrisons Corn Cobettes ,Morrisons Corn Cobettes 4 per pack,£1.39,34.8p each,Buy 2 for £2.50
Morrisons Counted Caesar Dressing ,Morrisons Counted Caesar Dressing 175ml,£1.39,79.4p per 100ml,
Morrisons Courgettes (min 2 pack),Morrisons Courgettes (min 2 pack),£1.39,,
Morrisons Cripps Red Apples,Morrisons Cripps Red Apples6 per pack,£1.99,33.2p each,
Morrisons Crispy Leaf Mix,Morrisons Crispy Leaf Mix200g,99p,49.5p per 100g,Italian Meal Deal For £8
Morrisons Crispy Potato Slices ,Morrisons Crispy Potato Slices 300g,£1.99,66.3p per 100g,Easy Chicken Dinner Meal Deal for £7
Morrisons Crispy Salad,Morrisons Crispy Salad70g,89p,£1.27 per 100g,Buy 2 for £1
Morrisons Crunchy Slaw Kit,Morrisons Crunchy Slaw Kit300g,£1.39,46.3p per 100g,
Morrisons Cucumber ,Morrisons Cucumber ,75p,,
Morrisons Dessert Apples ,Morrisons Dessert Apples 1.8kg,£2.99,£1.66 per kg,
Morrisons Diced Swede & Carrot ,Morrisons Diced Swede & Carrot 450g,99p,£2.20 per kg,
Morrisons Diced White Onion,Morrisons Diced White Onion400g,99p,24.8p per 100g,
Morrisons Diva Bouquet,Morrisons Diva Bouquet,£11,,
Morrisons Edamame & Broccoli Stir Fry,Morrisons Edamame & Broccoli Stir Fry270g,£1.49,55.2p per 100g,Buy 3 for £2.50
Morrisons Egg Noodles,Morrisons Egg Noodles275g,£1.49,54.2p per 100g,Buy 3 for £2.50
Morrisons Fennel ,Morrisons Fennel 250g,£1.25,£5.00 per kg,
Morrisons Figs,Morrisons Figs4 per pack,£1.99,49.8p each,
Morrisons Flat Parsley,Morrisons Flat Parsley100g,£1.39,£1.39 per 100g,
Morrisons Flax Seeds ,Morrisons Flax Seeds 150g,99p,66p per 100g,
Morrisons French Dressing,Morrisons French Dressing175ml,£1.39,79.4p per 100ml,
Morrisons Fresh Basil,Morrisons Fresh Basil30g,89p,29.7p per 10g,"Offer price 89p, was 99p"
Morrisons Fresh Chives,Morrisons Fresh Chives20g,99p,49.5p per 10g,
Morrisons Fresh Curly Parsley,Morrisons Fresh Curly Parsley30g,99p,33p per 10g,
Morrisons Fresh Dill,Morrisons Fresh Dill20g,99p,49.5p per 10g,
Morrisons Fresh Mint,Morrisons Fresh Mint30g,89p,29.7p per 10g,"Offer price 89p, was 99p"
Morrisons Fresh Rosemary ,Morrisons Fresh Rosemary 20g,89p,£4.45 per 100g,"Offer price 89p, was 99p"
Morrisons Fresh Sage,Morrisons Fresh Sage20g,99p,£49.50 per kg,
Morrisons Fresh Thyme,Morrisons Fresh Thyme20g,89p,44.5p per 10g,"Offer price 89p, was 99p"
Morrisons Garlic & Herb Dressing,Morrisons Garlic & Herb Dressing175ml,£1.39,79.4p per 100ml,
Morrisons Garlic Pack,Morrisons Garlic Pack4 per pack,99p,24.8p each,
Morrisons Garlic Stuffed Mushrooms,Morrisons Garlic Stuffed Mushrooms200g,£1.99,99.5p per 100g,
Morrisons Giant Garlic,Morrisons Giant Garlic,75p,,
Morrisons Ginger,Morrisons Ginger125g,£1.09,£8.72 per kg,
Morrisons Golden Delicious Apples ,Morrisons Golden Delicious Apples 6 per pack,£1.69,28.2p each,
Morrisons Granny Smith Apples,Morrisons Granny Smith Apples6 per pack,£1.69,28.2p each,
Morrisons Green Grapes,Morrisons Green Grapes170g,£1.15,67.6p per 100g,
Morrisons Hazelnuts,Morrisons Hazelnuts200g,£2.49,£1.25 per 100g,Buy 2 for £4
Morrisons Herb Dressed New Potatoes ,Morrisons Herb Dressed New Potatoes 300g,£2.20,£7.33 per kg,
Morrisons Herby Baby Potatoes,Morrisons Herby Baby Potatoes360g,£1.09,£3.03 per kg,
Morrisons Honey & Mustard Dressing ,Morrisons Honey & Mustard Dressing 175ml,£1.39,79.4p per 100ml,
Morrisons House Salad Bowl ,Morrisons House Salad Bowl 145g,£1.29,89p per 100g,
Morrisons Iceberg Lettuce,Morrisons Iceberg Lettuce,65p,,"Offer price 65p, was 69p"
Morrisons Italian Style Salad,Morrisons Italian Style Salad80g,99p,£1.24 per 100g,Italian Meal Deal For £8
Morrisons Jazz Apple,Morrisons Jazz Apple6 per pack,£1.59,26.5p each,"Offer price £1.59, was £1.89"
Morrisons Jumbo Salad Onions ,Morrisons Jumbo Salad Onions 110g,99p,£9.00 per kg,
