name,Price Per Unit,Price Per Measure,Promotion
Animology Knot Sure De-Tangle Spray,Animology Knot Sure De-Tangle Spray250ml,£5,£2.00 per 100ml,
Animology Puppy Love Shampoo,Animology Puppy Love Shampoo250ml,£5,£2.00 per 100ml,
Animology White Wash Dog Shampoo,Animology White Wash Dog Shampoo250ml,£5,£2.00 per 100ml,
Aquarian Goldfish Food Flakes,Aquarian Goldfish Food Flakes50g,£3.50,£70.00 per kg,
Aquarian Goldfish Food Flakes,Aquarian Goldfish Food Flakes25g,£2,£80.00 per kg,
Aquarian Tropical Fish Food Flakes,Aquarian Tropical Fish Food Flakes50g,£4.70,£94.00 per kg,
Arden Grange Adult Chicken & Rice Dry Dog Food,Arden Grange Adult Chicke…2kg,£10.75,£5.38 per kg,
Arden Grange Adult Lamb & Rice Dry Dog Food,Arden Grange Adult Lamb & Rice Dry Dog Food2kg,£10.85,£5.43 per kg,
Arden Grange Senior Chicken & Rice Dry Dog Food,Arden Grange Senior Chick…2kg,£11,£5.50 per kg,
Bakers Allsorts Dog Treat Chicken & Beef,Bakers Allsorts Dog Treat Chicken & Beef98g,£1.10,£11.22 per kg,Buy 2 for £2
Bakers Dental Delicious Large Dog Chews Chicken,Bakers Dental Delicious Large Dog Chews Chicken270g,£2.20,£8.15 per kg,
Bakers Dental Delicious Medium Dog Chews Chicken,Bakers Dental Delicious Med…200g,£2.20,£11.00 per kg,
Bakers Dog Treats Valentines Tin,Bakers Dog Treats Valentines Tin,£4.50,,
Bakers Dry Dog Food Beef & Veg,Bakers Dry Dog Food Beef & Veg1.2kg,£4,£3.33 per kg,
Bakers Dry Dog Food Beef & Veg,Bakers Dry Dog Food Beef & Veg3kg,£8,£2.67 per kg,
Bakers Dry Dog Food Chicken & Veg,Bakers Dry Dog Food Chicken & Veg1.2kg,£4,£3.33 per kg,
Bakers Dry Dog Food Chicken & Veg,Bakers Dry Dog Food Chicken & Veg3kg,£8,£2.67 per kg,
Bakers Meaty Meals Adult Dry Dog Food Beef,Bakers Meaty Meals Adult Dry Dog Food Beef1kg,£4,£4.00 per kg,
Bakers Meaty Meals Adult Dry Dog Food Chicken,Bakers Meaty Meals Adult Dry Dog Food Chicken2.7kg,£8.75,£3.24 per kg,
Bakers Meaty Meals Adult Dry Dog Food Chicken,Bakers Meaty Meals Adult Dry Dog Food Chicken1kg,£4,£4.00 per kg,
Bakers Meaty Meals Adult Small Dry Dog Food Beef,Bakers Meaty Meals Adult Small Dry Dog Food Beef1kg,£4,£4.00 per kg,
Bakers Meaty Meals Adult Small Dry Dog Food Chicken,Bakers Meaty Meals Adult Smal…1kg,£4,£4.00 per kg,
Bakers Meaty Twists,Bakers Meaty Twists180g,£2,£11.11 per kg,
Bakers Mini Bones Chicken Dog Treat,Bakers Mini Bones Chicken Dog Treat94g,£1.10,£11.70 per kg,Buy 2 for £2
Bakers Puppy Dry Dog Food Chicken & Veg,Bakers Puppy Dry Dog Food Chicken & Veg1.1kg,£4,£3.64 per kg,
Bakers Puppy Dry Dog Food Chicken & Veg,Bakers Puppy Dry Dog Food Chicken & Veg2.85kg,£8,£2.81 per kg,
Bakers Rewards Dog Treat Mixed Variety,Bakers Rewards Dog Treat Mixed Variety100g,£1.10,£11.00 per kg,Buy 2 for £2
Bakers Senior Dry Dog Food Chicken & Veg,Bakers Senior Dry Dog Food Chicken & Veg2.85kg,£8,£2.81 per kg,
Bakers Senior With Tasty Chicken & Vegetables & Wholegrain,Bakers Senior With Tasty Chicken…1.1kg,£4,£3.64 per kg,
Bakers Sizzlers Dog Treat Bacon,Bakers Sizzlers Dog Treat Bacon185g,£2,£10.81 per kg,
Bakers Sizzlers Dog Treat Bacon,Bakers Sizzlers Dog Treat Bacon90g,£1.50,£1.67 per 100g,Buy 2 for £2
Bakers Small Dog Dry Dog Food Beef & Veg,Bakers Small Dog Dry Dog Food Beef & Veg10kg,£27,27p per 100g,
Bakers Small Dog Food Chicken & Veg,Bakers Small Dog Food Chicken & Veg1.1kg,£4,£3.64 per kg,
Bakers Small Dry Dog Food Beef & Veg,Bakers Small Dry Dog Food Beef & Veg1.1kg,£4,£3.64 per kg,
Bakers Small Dry Dog Food Beef & Veg,Bakers Small Dry Dog Food Beef & Veg2.85kg,£8,£2.81 per kg,
Bakers Small Dry Dog Food Chicken & Veg,Bakers Small Dry Dog Food Chicken & Veg2.85kg,£8,£2.81 per kg,
Bakers Weight Control Dry Dog Food Chicken,Bakers Weight Control Dry Dog Food Chicken2.8kg,£8,£2.86 per kg,
Bakers Whirlers Dog Treat Bacon & Cheese,Bakers Whirlers Dog Treat Bacon & Cheese270g,£2,£7.41 per kg,
Bakers Whirlers Dog Treat Bacon & Cheese,Bakers Whirlers Dog Treat Bacon & Cheese130g,£1.50,£1.15 per 100g,Buy 2 for £2
Bakers With Tasty Chicken & Country Vegetables Adult Complete,Bakers With Tasty Chicken…12kg,£28,£2.33 per kg,
Barking Heads Adult Dog Food Wet Pouches Variety Pack,Barking Heads Adult Dog Food…6 x 300g,£11.30,62.8p per 100g,
Barking Heads Bowl Lickin' Chicken Adult Dry Dog Food,Barking Heads Bowl Lickin' Ch…6.5kg,£44.80,£6.89 per kg,
Barking Heads Chop Lickin' Lamb,Barking Heads Chop Lickin' Lamb1kg,£7.50,£7.50 per kg,
Barking Heads Chop Lickin' Lamb Adult Dry Dog Food,Barking Heads Chop Lickin'…2kg,£15,£7.50 per kg,
Barking Heads Chop Lickin' Lamb Wet Dog Food Pouch,Barking Heads Chop Lickin'…300g,£2.50,83.3p per 100g,
Barking Heads Fat Dog Slim,Barking Heads Fat Dog Slim1kg,£7.50,£7.50 per kg,
Barking Heads Fat Dog Slim Adult Dry Dog Food,Barking Heads Fat Dog Slim Adult Dry Dog Food2kg,£15,£7.50 per kg,
Barking Heads Fat Dog Slim Wet Dog Food Pouch,Barking Heads Fat Dog Slim Wet Dog Food Pouch300g,£2.50,83.3p per 100g,
Barking Heads Floss & Gloss Medium Breed Dog Dental Sticks 5 Pack,Barking Heads Floss & Gloss Medium Br…150g,£3,£2.00 per 100g,
Barking Heads Floss & Gloss Small Breed Dog Dental Sticks 5 Pack,Barking Heads Floss & Gloss Small Bre…100g,£2.30,£2.30 per 100g,
Barking Heads Golden Years Senior Dry Dog Food,Barking Heads Golden Year…2kg,£15,£7.50 per kg,
Barking Heads Little Paws Beef Waggington with Chicken Dry Dog Food,Barking Heads Little Paws Beef Waggingt…1kg,£7.50,£7.50 per kg,
Barking Heads Little Paws Beef with Chicken & Salmon Wet Dog Food,Barking Heads Little Paws Beef with C…150g,£1.50,£1.00 per 100g,
Barking Heads Little Paws Bowl Lickin' Chicken with Salmon Dry Dog Food,Barking Heads Little Paws Bowl Lickin' Ch…1kg,£7.50,£7.50 per kg,
Barking Heads Little Paws Chicken with Turkey Wet Dog Food,Barking Heads Little Paws Chicken…150g,£1.50,£1.00 per 100g,
Barking Heads Little Paws Golden Years with Chicken Dry Dog Food,Barking Heads Little Paws Golden Year…1kg,£7.50,£7.50 per kg,
Barking Heads Plant-Powered Pooches Adult Dry Dog Food,Barking Heads Plant-Powered Poo…1kg,£7.50,£7.50 per kg,
Barking Heads Pooched Salmon Adult Dry Dog Food,Barking Heads Pooched Sal…6.5kg,£45,£6.92 per kg,
Barking Heads Puppy Days Grain Free Dry Dog Food,Barking Heads Puppy Days Gr…1kg,£7.50,£7.50 per kg,
