name,Price Per Unit,Price Per Measure,Promotion
Ben & Jerry's Half Baked Chocolate Ice Cream Tub,Ben & Jerry's Half Baked Chocolate Ice Cream Tub465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £4.80"
Ben & Jerry's Karamel Sutra Core Caramel Ice Cream Tub,Ben & Jerry's Karamel Sutra Cor…465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £5.49"
Ben & Jerry's Lighten Up Chocolate Cookie Dough,Ben & Jerry's Lighten Up Chocolate Cookie Dough465ml,£5.49,£1.18 per 100ml,
Ben & Jerry's Lighten Up Vanilla Brownie,Ben & Jerry's Lighten Up Vanilla Brownie465ml,£5.49,£1.18 per 100ml,
Ben & Jerry's Netflix & Chill'D Peanut Butter Ice Cream Tub,Ben & Jerry's Netflix & Chill'D P…465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £5.49"
Ben & Jerry's Peanut Butter Cup ,Ben & Jerry's Peanut Butter Cup 465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £5.49"
Ben & Jerry's Phish Food Chocolate Ice Cream Tub,Ben & Jerry's Phish Food Chocolate Ice Cream Tub465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £4.80"
Ben & Jerry's Strawberry Cheesecake Ice Cream Tub,Ben & Jerry's Strawberry Ch…465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £5.49"
Ben & Jerry's Sundae Cookie Vermont-Ster Ice Cream Tub,Ben & Jerry's Sundae Cookie Ver…427ml,£5.49,£1.29 per 100ml,
Ben & Jerry's Sundae Hazel-Nuttin' But Chocolate Ice Cream Tub,Ben & Jerry's Sundae Hazel-Nuttin'…427ml,£5.49,£1.29 per 100ml,
Ben & Jerry's Sundae Oh My Banoffee Pie Ice Cream Tub,Ben & Jerry's Sundae Oh My Ba…427ml,£5.49,£1.29 per 100ml,
Ben And Jerry's A Chocolate Love A-Fair Sea Salt Caramel Ice Cream,Ben And Jerry's A Chocolate Love A-Fair…465ml,£3.75,80.6p per 100ml,"Offer price £3.75, was £5.49"
Bernard Matthews Farms Turkey Breast Roast,Bernard Matthews Farms Turkey Breast Roast450g,£2.75,£6.11 per kg,
Bernard Matthews Golden Turkey Drummers,Bernard Matthews Golden Turkey Drummers350g,£2.25,64.3p per 100g,
Bernard Matthews Turkey Dinosaurs,Bernard Matthews Turkey Dinosaurs350g,£2.25,64.3p per 100g,
Bernard Matthews Turkey Mini Kievs,Bernard Matthews Turkey Mini Kievs13 x 295g,£2.25,5.9p per 100g,
Beyond Meat Plant Based Meatballs,Beyond Meat Plant Based Meatballs200g,£4,£2.00 per 100g,
Beyond Meat Plant Based Mince,Beyond Meat Plant Based Mince250g,£4,£1.60 per 100g,
Beyond Meat Plant Based Sausage,Beyond Meat Plant Based Sausage4 x 50g,£4,£2.00 per 100g,
