name,Price Per Unit,Price Per Measure,Promotion
Basra Date Syrup,Basra Date Syrup450g,£3,66.7p per 100g,
Bebeto Assorted Fruit Twists ,Bebeto Assorted Fruit Twists 220g,£1,45.5p per 100g,
Bebeto Big Fizzy Mix,Bebeto Big Fizzy Mix150g,£1,66.7p per 100g,
Bebeto Big Mix,Bebeto Big Mix150g,£1,66.7p per 100g,
Bebeto Fizzy Blue Raspberry Laces,Bebeto Fizzy Blue Raspberry Laces220g,£1,45.5p per 100g,
Bebeto Fizzy Strawberry Laces,Bebeto Fizzy Strawberry Laces220g,£1,45.5p per 100g,
Bebeto Fizzy Strawberry Pencils,Bebeto Fizzy Strawberry Pencils220g,£1,45.5p per 100g,
Bebeto Fizzy Watermelons,Bebeto Fizzy Watermelons150g,£1,66.7p per 100g,
Bebeto Party Gummy Mix ,Bebeto Party Gummy Mix 400g,£2,50p per 100g,
Bebeto Pick & Mix Party Pack,Bebeto Pick & Mix Party Pack750g,£4,53.3p per 100g,
Bebeto Strawberries,Bebeto Strawberries150g,£1,66.7p per 100g,
Bebeto Strawberry Trunks,Bebeto Strawberry Trunks220g,£1,45.5p per 100g,
Bigen            Black Brown 58       ,Bigen            Black Brown 58       ,£3.50,,
Bigen            Dark Brown 57       ,Bigen            Dark Brown 57       ,£3.50,,
Bigen For Men Brown Black 102  ,Bigen For Men Brown Black 102  ,£6.50,,
Bigen For Men Dark Brown 103 ,Bigen For Men Dark Brown 103 ,£6.50,,
Bigen For Men    Natural Black 101    ,Bigen For Men    Natural Black 101    ,£6.50,,
Bigen Oriental Black 59     ,Bigen Oriental Black 59     ,£3.50,,
Bionaturo Beetroot Juice ,Bionaturo Beetroot Juice 300ml,£1.95,65p per 100ml,
Bolands Elite Chocolate Kimberley ,Bolands Elite Chocolate Kimberley 132g,£1.50,£1.13 per 100g,"Offer price £1.50, was £1.80"
Bolands Fig Rolls,Bolands Fig Rolls200g,£1,50p per 100g,
Bolands          Jam Mallows      ,Bolands          Jam Mallows      250g,£1.50,60p per 100g,"Offer price £1.50, was £1.65"
Bol One Pot Meal Spanish Smoky Butter Bean Stew,Bol One Pot Meal Spanish Smoky Butter Bean Stew450g,£3.25,72.2p per 100g,Buy 2 for £5
Cafe Asia Chicken Spring Rolls ,Cafe Asia Chicken Spring Rolls 400g,£3.75,£9.38 per kg,
Cafe Asia Duck Spring Rolls,Cafe Asia Duck Spring Rolls400g,£4.59,£11.48 per kg,
Cafe Asia Vegetable Spring Rolls ,Cafe Asia Vegetable Spring Rolls 400g,£2.99,£7.48 per kg,
Cantu Shea Butter Cleansing Cream Shampoo ,Cantu Shea Butter Clean…400ml,£6,£1.50 per 100ml,
Cantu Shea Butter Coconut Curling Cream ,Cantu Shea Butter Coconut Curling Cream 340g,£7,£2.06 per 100g,
Cantu Shea Butter Coil Calm Detangler Spray ,Cantu Shea Butter Coil Calm Detangler Spray 237ml,£7,£2.95 per 100ml,
Cantu Shea Butter Comeback Curl Next Day Curl Revitalizer,Cantu Shea Butter Comeback Curl N…355ml,£6,£1.69 per 100ml,
Cantu Shea Butter Deep Treatment Masque ,Cantu Shea Butter Deep Treatment Masque 340g,£7,£2.06 per 100g,
Cantu Shea Butter Extra Hold Edge Stay Gel ,Cantu Shea Butter Extra Hold Edge Stay Gel 64g,£6,£9.38 per 100g,
Cantu Shea Butter Hydrating Cream Conditioner ,Cantu Shea Butter Hydrati…400ml,£6,£1.50 per 100ml,
Cantu Shea Butter Leave-In Conditioning Repair Cream,Cantu Shea Butter Leave-In Co…453g,£6,£1.32 per 100g,
Cantu Shea Butter Moisturizing Curl Activator Cream,Cantu Shea Butter Moisturizin…355ml,£7,£1.97 per 100ml,
Cantu Shea Butter Moisturizing Twist & Lock Gel ,Cantu Shea Butter Moisturiz…370g,£6,£1.62 per 100g,
Caribbean Sunrise Jamaican Ginger Cake,Caribbean Sunrise Jamaican Ginger Cake,£1,,
Caribbean Sunrise Pineapple & Coconut Cake,Caribbean Sunrise Pineapple & Coconut Cake,£1,,
Cedrob Medallion Ham Cheese,Cedrob Medallion Ham Cheese315g,£2.75,87.3p per 100g,
Cedrob Mushroom Cutlets ,Cedrob Mushroom Cutlets 590g,£3.50,59.3p per 100g,
Chai Xpress Spiced Masala Tea Bags ,Chai Xpress Spiced Masala Tea Bags 75g,£2,£2.67 per 100g,
Chef Brown Sauce,Chef Brown Sauce330g,£1.25,37.9p per 100g,
